번호,인정기관명,인증기업명(국문),현상태,사업자등록번호,메인사업장 지역코드,메인사업장 주소,종업원수(전체),전화번호,E-Mail,Fax,담당자,대표자,우편번호,인증표준,인증번호,최초인증일(기관 최초),최초인증일(인증서 최초),인증유효 시작일자,인증유효 만료일자,인증범위 입력,산업분류코드1,산업분류코드2,산업분류코드3
13,KAB,주식회사 밥앤스토리,인증완료,312-86-49157,충남,충남 아산시 탕정면 삼성로 311 (동산리),1,041-427-1820,10ytfood@ytfood.co.kr,041-621-1823,오인아 주임,"임설희, 박오순",31453,ISO 9001:2015,Q260489,2026-08-31,,2026-08-31,2029-08-30,QMS- 단체급식에 대한 생산 및 서비스 FSMS- 식자재를 구매하여 검수하고 채소와 비채소 요리 등을 조리하여 기업 구내 식당에서 배식하는 급식 서비스,03,,
14,KAB,주식회사 효성아이티,인증완료,110-86-20651,서울,"서울 강서구 공항대로 200, 8층 819호(마곡동, 마곡지웰타워)",1,--,two9912@naver.com,--,변정우 대리,이부영,7631,ISO 9001:2015,Q260488,2026-08-31,,2026-08-31,2029-08-30,"정보통신기기의 설계, 개발 및 제조",19,,
15,KAB,주식회사 아이티아이넥서스,인증완료,559-81-03022,경기,경기 화성시 만세구 우정읍 석천리 52-18,1,010-4002-9088,mlt3022@naver.com,031-359-9018,이재호 이사,민승기,18569,ISO 9001:2015/ISO 14001:2015,E260492,2026-08-10,,2026-08-10,2029-08-09,"스마트 쉘터 정류장, 안테나 폴, 가변용 태양광 주차장, 통신용전주, 신호등주, 통합폴, 조명타워, 조명타워 및 구조물 관리 개발, MLT(Multipurpose Lifting Tower), 조명타워, 가로조명타워, 기후측정장비타워, 전선이 내장된 다단식 지주 타워의 설계 및 생산",17,18,
16,KAB,에이씨에스(주),인증완료,261-88-00452,경기,"경기 안산시 단원구 시화호수로 971, G동 (목내동, (주)에스씨엘 시화 MTV)",1,031-493-5634,ejchoi@acsltd.co.kr,--,진병준 대리,"김예균, 정희진",15658,ISO 9001:2015,Q260486,2021-10-14,2021-10-14,2026-07-13,2027-10-13,철도차량부품(제동장치)의 제조,22,,
17,KAB,(주)디에이치인더스트리,인증완료,176-81-00062,경기,"경기 화성시 마도면 마도로660번길 30, 1층",1,031-355-6889,rubberkim@nate.com,--,김지훈 부장,남현숙,18541,ISO 9001:2015,OH260490,2026-08-24,,2026-08-24,2029-08-23,철도차량 부품(통로연결막)제조,22,,
18,KAB,주식회사 아카이버스,인증완료,384-81-03729,서울,"서울 서초구 남부순환로 2497, 8층 804호(서초동)",1,02-581-0609,jypark@archiverse.ai.kr,02-582-0609,박진영,"이현진, 김현진",6724,ISO 45001:2018,OH260483,2026-07-13,,2026-07-13,2029-07-12,"기록물 DB 구축, 공정관리 소프트웨어, 응용 소프트웨어 개발 및 공급",33,,
19,KAB,주식회사 한윤물류,인증완료,476-86-00502,경기,경기 김포시 통진읍 대서명로 64,1,02-6221-4539,KOREA@HR-SZ.COM,02-3661-4539,김승남 대표,JIN SHENGNAN,10016,ISO 45001:2018,OH260477,2026-07-13,,2026-07-13,2029-07-12,"국제물류주선, 운송(항공, 해상, 육상 화물) 하역 및 분류서비스",31,,
20,KAB,주식회사 에스티알,인증완료,101-86-73926,경기,"경기 시흥시 공단1대로80번길 128, 시화공단 1마 603호(정왕동)",1,031-365-3546,cwpark@strhd.co.kr,070-7500-0775,박찬우 부장,김예균,15096,ISO 9001:2015,Q260475,2026-06-22,,2026-06-22,2029-06-21,철도차량 부품(제동장치) 및 농업용 기계(엔진부품)의 제조,18,22,
21,KAB,주식회사 엘엑스제이,인증완료,148-81-00499,경기,경기 광주시 초월읍 진새골길75번길 33,1,-9164,lxj_yssoffice@naver.com,--,윤성수 주임,이상배,12735,ISO 9001:2015,Q260474,2026-07-06,,2026-07-06,2029-07-05,"자동차 도장설비, 용접 · 판금 설비의 제조",18,,
22,KAB,(주)대한과학 베트남,인증완료,010-88-07222,,,1,840-2465-6858,leejh@daihansci.co.kr,--,이진형 팀장,최정근,,ISO 9001:2015,Q260471,2026-05-18,,2026-05-18,2029-05-17,"수조 및 순환수조, 원심분리기, 히팅블록, 핫플레이트, 핫플레이트 교반기, 쉐이커 및 로커, 볼텍스믹서, 오븐, 인큐베이터, 안전케비넷 생산과 실험기자재 판매 및 서비스",19,29,
23,KAB,주식회사 유진테크놀로지,인증완료,317-81-18936,충북,충북 청주시 흥덕구 2순환로742번길 42 (화계동),1,042-237-1113,dongkyun@yujintechnology.com,--,임동균 과장,"여현국, 이미연",28294,ISO9001:2015/ISO14001:2015/ISO 45001:2018,E260469,2024-06-14,2024-06-14,2026-05-11,2027-06-13,"1. 금형, 자동화 설비용 정밀 가공품의 설계, 개발 및 제조 2. 2차 전지용 리드탭의 제조",17,18,
24,KAB,(주)비엔텍,인증완료,303-81-33898,충북,충북 음성군 삼성면 대청로 57-34 (상곡리),1,043-535-5190,tech2003@nate.com,--,최선경 이사,한만형,27658,ISO 9001:2015/ISO 14001:2015,E260467,2004-06-11,2004-06-11,2026-05-06,2028-06-09,플라스틱 컴파운드 및 마스터 배치의 생산,14,,
25,KAB,주식회사 피제이산업(영천지점),심사진행,451-85-00753,경북,경상북도 영천시 칠백로 808-11 (도남동),1,054-336-2290,pj00706@naver.com,--,김재홍 팀장,박희대,38898,ISO 9001:2015/ISO 14001:2015,SKORE-0047,,,,,"산업용 세척제, 신너, 석유화학 부산물을 포함한 폐유기 용제 및 오일을 고도의 증류 및 정제 공정을 통해 재활용하여 재사용 가능한 산업 원료 및 정제 연료유로 회수 및 전환",12,24,
26,KAB,(주)이에스티 경주사업장,인증완료,611-85-07829,경북,경북 경주시 외동읍 냉천공단길 79,1,054-776-0992,gybae@estco.kr,--,배길영 대리,김희수,38204,ISO9001:2015/ISO14001:2015/ISO 45001:2018,E260464,2026-08-03,,2026-08-03,2029-08-02,폐기물 관리 및 처리와 환경컨설팅,35,,
27,KAB,주식회사 이에스티,인증완료,610-81-67336,울산,울산 울주군 온산읍 원봉로 100,1,052-237-5364,sjkim@estco.kr,--,김수진 이사,김희수,45010,ISO9001:2015/ISO14001:2015/ISO 45001:2018,E260461,2026-07-27,,2026-07-27,2029-07-26,폐기물 관리 및 처리와 환경컨설팅,35,,
28,KAB,주식회사 이에스티그린,인증완료,679-81-01503,울산,울산 남구 테크노산업로81번길 28 (두왕동),1,052-713-5566,jhchoi@estco.kr,--,최재호 부장,김용철,44776,ISO9001:2015/ISO14001:2015/ISO 45001:2018,E260458,2026-07-27,,2026-07-27,2029-07-26,"환경오염물질(대기, 수질, 환경질 등)의 시료채취 및 시험분석 서비스",34,,
29,KAB,이콰트로 주식회사,인증완료,236-88-03716,전남,전남 나주시 왕곡면 혁신산단4길 56,1,055-261-4050,wingtiger66@naver.com,055-261-4051,최종호 부사장,김영일,58296,ISO9001:2015/ISO14001:2015/ISO 45001:2018,E260455,2026-05-18,,2026-05-18,2029-05-17,"에폭시 주상개폐기, 에폭시 지상개폐기, 가스절연 부하개폐기, 폴리머 Recloser, 가스절연 Recloser의 설계, 개발, 생산 및 부가서비스",19,,
30,KAB,주식회사 에이알알루미늄,인증완료,797-87-02724,경남,경남 사천시 사남면 공단2로 146,2,055-855-3377,kim.kd@almac.co.kr,055-855-3378,김경덕 주임,정석현,52530,ISO 14001:2015/ISO 45001:2018,E260449,2026-04-30,,2026-04-30,2029-04-29,알루미늄 주조 및 압출부품의 제조,17,,
31,KAB,서도에너젠 주식회사,인증완료,667-87-03868,충남,충남 천안시 서북구 백석공단3길 50 (백석동),1,00--,kdu4321@hoimyung.co.kr,00--,"김동욱 팀장, 이우형 팀장",한석완,31094,ISO 9001:2015/ISO 14001:2015,E260448,2026-04-30,,2026-04-30,2029-04-29,"2차전지 소재(도전재 슬러리, 분산제, 절연코팅액)의 개발 및 생산",12,,
32,KAB,"DAE HWA GLOBAL CO., LTD.",인증완료,100-04-13263,,,1,02-2736-3857,daehwaglobal@naver.com,--,최공남 대표이사,최공남,,ISO 9001:2015/ISO 14001:2015,E260446,2026-05-06,,2026-05-06,2029-05-05,"자동차 부품(헤드레스트, 암레스트, 시트)의 제조",12,,
33,KAB,(주)세진엔지니어링,인증완료,412-81-23898,전남,전남 영암군 덕진면 향월유수동길 101-8,1,061-810-6333,kim8454004@hanmail.net,--,김숙현,박찬갑,58408,ISO9001:2015/ISO14001:2015/ISO 45001:2018,E260443,2020-04-27,,2026-04-06,2029-04-26,"1. 신재생에너지(열분야, 전기분야, 연료전지, 바이오, 태양광)에 대한 설계, 개발, 시공, 생산 및 판매 2. 토목공사에 대한 시공 및 유지보수 3. 전문건설(전기공사, 소방시설공사, 난방시공, 기계설비공사, 정보통신공사, 금속구조물/창호공사)에 대한 시공 및 유지보수 4. 전동/발전기류, 전기자동차용 충전기류, 폐기물 장비류 및 태양광 발전용 접속함에 대한 설계, 개발, 제조, 설치 및 서비스",19,28,
34,KAB,콜마홀딩스 주식회사,인증완료,307-81-02816,세종,세종특별자치시 전의면 덕고개길 12-11,3,02-3459-5139,wankyu@kolmar.co.kr,--,김완규 대리,윤상현,30004,ISO 45001:2018,OH260441,2026-05-11,,2026-05-11,2029-05-10,"자회사 및 손자회사의 제반사업에 대한 경영자문, 지도, 육성 및 서비스",35,,
35,KAB,주식회사 경기전력,인증완료,141-81-37317,경기,"경기 성남시 수정구 위례광장로 322, 512호 (창곡동, 아이플렉스)",1,031-722-3731,kg04223@naver.com,0505-227-0113,양혜정 대표,양혜정,13640,ISO9001:2015/ISO45001:2018,OH260440,2026-04-06,,2026-04-06,2029-04-05,전기공사,28,,
36,KAB,(주)미래디스플레이,인증완료,234-81-04627,경기,"경기 김포시 양촌읍 황금로 117, 메카존동 8층 848호",1,--,two9912@naver.com,--,변정우 대리,최정훈,10048,ISO 9001:2015,Q260433,2024-05-24,2024-05-24,2026-02-09,2027-05-23,"정보통신기기의 설계, 개발 및 제조",19,,
37,KAB,주식회사 아주테크,인증취소,397-86-01950,경기,"경기 김포시 양촌읍 황금로 117, 메카존동 8층 855호",1,--,two9912@naver.com,--,변정우 대리,이재수,10048,ISO 9001:2015,Q260432,2024-05-14,2024-05-14,2026-02-23,2027-05-13,"정보통신기기의 설계, 개발 및 제조",19,,
38,KAB,회명워터젠(주),인증완료,220-81-46327,경북,경북 구미시 옥계2공단로 139 (구포동),1,041-413-2658,carrot1208@hoimyung.co.kr,--,배혜정 주임,한창호,39416,ISO 9001:2015/ISO 14001:2015,E260431,2016-03-25,2016-03-25,2026-02-02,2028-03-24,"수처리 설비(액체여과장치)의 설계, 개발 및 생산",18,,
39,KAB,(주)그린마이스터,인증완료,126-86-28508,경기,경기 양평군 강하면 수대골길 6,1,031-775-9871,greenmeister@naver.com,--,김대은 실장,김연술,12575,ISO 45001:2018,OH260429,2026-03-03,,2026-03-03,2029-03-02,"하천 녹화 자재의 설계 및 제조, 자연형 하천복원, 법면 녹화의 설계, 시공",23,28,
40,KAB,엔젯 주식회사,심사진행,206-86-36037,경기,경기도 화성시 현대기아로 733-6,1,031-356-5542,jyjung@enjet.co.kr,--,정진영 대리,변도영,18255,ISO 14001:2015,SKORE-0046,,,,,페기물 재활용 및 중간처리에대한 생산 및 부가서비스,24,,
41,KAB,주식회사 선우엔지니어링,인증완료,620-81-35919,울산,울산 울주군 청량읍 상남길 65-6,1,052-260-3391,yhs@sunwooeng.net,--,유형식 부장,"서광학, 전형채",44985,ISO9001:2015/ISO14001:2015/ISO 45001:2018,Q260424,2014-03-10,,2026-02-23,2029-02-27,"기계가스설비공사, 구조물해체·비계공사, 석면해체 ·제거공사",28,,
42,KAB,제이앤에이,인증완료,509-25-01227,충남,"충남 아산시 둔포면 이화서길 55-23, 3-1동",1,00--,jna@jna0901.com,00--,박선미 대표,박선미,31409,ISO 9001:2015,Q260423,2026-02-19,,2026-02-19,2029-02-18,"반도체 장비 부품(세라믹 쿼츠, 사파이어)의 가공",35,,
43,KAB,주식회사 디폰스,인증완료,129-87-03099,충남,"충남 아산시 음봉면 연암산로 88, 212호(디스플레이센터)",1,070-8998-1208,difons@difons.com,050-4171-2464,박선미 과장,정주락,31415,ISO 9001:2015/ISO 14001:2015,E260422,2026-02-19,,2026-02-19,2029-02-18,"반도체 부품(Si, SiC, 세라믹 쿼츠)의 가공",35,,
44,KAB,(주)지인HP 안산공장,인증완료,384-85-01976,경기,"경기 안산시 단원구 별망로 274, 3층(성곡동)",1,031-494-2234,Jeongho.kim@e-jiin.co.kr,--,김정호 부장,민병화,15607,ISO 9001:2015/ISO 14001:2015,E260420,2022-03-04,2022-03-04,2026-01-12,2028-03-03,전자부품(PCB인쇄회로기판)에 대한 생산,19,,
45,KAB,(주)유진상사,인증완료,138-81-58257,인천,인천 남동구 고잔로51번길 26 (고잔동),1,032-446-5117,cgh972000@naver.com,--,최지훈 안전관리자,양원길,21678,ISO 45001:2018,OH260418,2026-01-28,,2026-01-28,2029-01-27,"파지, 폐기물, 재활용품의 수거 및 관리",35,,
46,KAB,주식회사 용한,인증완료,119-86-44679,서울,"서울 금천구 가산디지털2로 14, 317호(가산동, 대륭테크노타운12차)",1,02-862-5117,yonghan555@hanmail.net,--,소병철 안전관리자,"양수진, 양원길",8592,ISO 45001:2018,OH260417,2026-01-28,,2026-01-28,2029-01-27,"파지, 폐기물, 재활용품의 수거 및 관리",35,,
47,KAB,태봉(TB)화장품,인증완료,329-06-03458,경북,경북 영천시 화산면 장수로 842,1,054-336-6446,mck365@naver.com,054-336-6445,박이석 대표,박이석,38807,ISO22716:2007,C260413,2026-01-28,,2026-01-28,2029-01-27,여성 청결제의 생산,A-03,,
48,KAB,(주)신성크린텍,인증완료,140-81-37196,경기,"경기도 안산시 단원구 번영1로 65, A동 203호(성곡동, 시화타원지식산업센터)",1,031-431-2713,ssct5132@naver.com,--,설재남 이사,강성만,15413,ISO 45001:2018,OH250412,2026-01-12,,2026-01-12,2029-01-11,"1. 수처리기기, 환경설비 및 계측기기, 자외선살균기, 계장기기의 설계, 제작 및 유지보수 2. 기계설비 공사, 배관설비 공사 및 환경설비 공사 3. 수처리기기시스템의 구축",18,28,
49,KAB,주식회사 그린파워,심사보류,676-87-00512,경기,"경기 김포시 양촌읍 황금로 117, 나동 816호(메카존)",1,--,gurtns@i-aha.com,--,장혁순 팀장,박민진,10048,ISO 9001:2015/ISO 14001:2015,E250411,,,,,"전기자동차용 충전장치, 전기충전기 캐노피, (건물일체형)태양광발전장치, LED터널용등기구, 태양광가로등에 대한 설계, 개발 및 생산",17,18,19
50,KAB,주식회사 능인솔루션,인증완료,137-86-53064,서울,"서울 금천구 가산디지털2로 14, 1216호 (가산동, 대륭테크노타운12차)",1,02-2029-7050,jhpark@nisolution.co.kr,--,박지혜 차장,신현종,8592,ISO 14001:2015,E250408,2023-04-12,,2026-03-16,2029-04-11,시스템용 전자회로 개발 및 제조,19,,
51,KAB,샘텍E&C (이엔씨),인증완료,621-05-20661,경남,경남 김해시 상동면 동북로437번길 138-28,1,055-312-5320,ssamtech@naver.com,055-312-5318,곽동채 대표,곽동채,50804,ISO9001:2015/ISO14001:2015/ISO 45001:2018,E250406,2026-01-19,,2026-01-19,2029-01-18,산업플랜트(폴리머자동용해장치 등)의 제작 및 설치,18,,
52,KAB,(주)세명테크 익산공장,인증완료,403-85-04110,전북,"전북특별자치도 익산시 석암로7길 137 (팔봉동, 제2공단3차지구)",3,061-833-8818,yshan@semyungtech.com,--,한용수 과장,문성원,54584,ISO 14001:2015/ISO 45001:2018,E250400,2016-04-18,2016-04-18,2026-01-05,2027-05-22,"브레이크 허브, 상용차용 드럼 어셈블리 및 자동차용 알루미늄 다이캐스팅 제품 제조",17,18,
53,KAB,채움에프앤비 농업회사법인 주식회사,인증완료,611-81-24795,경남,"경남 거창군 가조면 석강3길 112 (석강리, 채움에프엔비)",1,055-941-1500,hjk712@naver.com,--,김지은 이사,하재규,50119,ISO 22000:2018,KOR/FSMS/00435/11789,2025-12-18,,2025-12-18,2028-12-17,"음료(과채 주스와 음료, 액상차, 혼합음료, 발효식초, 추출가공식품)와 캔디의 제조",CⅣ,,
54,KAB,HOJEONG COMPANY LIMITED,인증완료,230-07-77672,,,1,84222-390-7000,hjmanager@hojeong.info / ems_ga@hojeong.info,--,유정윤 이사/Le Thi Hang,임영득,,ISO 9001:2015/ISO 14001:2015,E250399,2022-12-09,,2025-12-08,2028-12-08,AssemblyProcessing of Mobile Phone Parts,19,,
55,KAB,(주)신의코퍼레이션,인증완료,125-86-17333,경기,경기 평택시 청북읍 감미동길 57 (고렴리),2,031-8029-9753,jangtaek.lee@shineui.net,031-935-0894,이장택 과장,이종민,17794,ISO9001:2015/ISO45001:2018,OH250395,2025-12-29,,2025-12-29,2028-12-28,"디스플레이 기계장치 제조, 반도체, LCD 부품 조립에 대한 인력파견, 도급서비스",35,,
56,KAB,주식회사 지성,인증완료,316-81-00369,충남,충남 태안군 태안읍 백화로 121-41,1,041-675-0549,0548js@hanmail.net,--,문지영 이사,박래창,32140,ISO 45001:2018,OH250393,2025-11-27,,2025-11-27,2028-11-26,건축 및 토목의 시공,28,,
57,KAB,림디자인 주식회사,인증완료,233-88-00326,충북,"충북 청주시 청원구 오창읍 중심상업로 17, 609,610호",1,043-213-0841,rim_official@naver.com,--,채은주 부장,차동하,28120,ISO9001:2015/ISO45001:2018,OH250392,2025-12-15,,2025-12-15,2028-12-14,실내건축공사,28,,
58,KAB,(주)한솔,인증완료,621-81-76591,경남,경상남도 양산시 상북면 충렬로 501 (소토리),1,055-785-3737,hansol@hansol-food.com,--,장재진 상무,"백갑문, 이경애",50580,ISO 22000:2018,KOR/FSMS/00434/11739,2025-11-20,,2025-11-20,2028-11-19,단체 급식,E,,
59,KAB,주식회사 원심,인증완료,321-86-03121,경기,경기 김포시 양촌읍 황금6로 42,1,031-8048-9551,leejh@wonshim.com,--,이정현 사장,LEE JEONG HYUN(이정현),10048,ISO 9001:2015/ISO 14001:2015,E250390,2025-12-08,,2025-12-08,2028-12-07,"세탁세제, 주방세제, 섬유유연제, 광택제, 섬유 탈취제 및 물티슈의 설계, 개발 및 생산",12,,
60,KAB,재단법인 논산문화관광재단,인증완료,171-82-00462,충남,충남 논산시 시민로 270 (내동),2,041-730-2917,cwnam@nonsancntf.or.kr,041-732-3977,남춘우 대리,백성현,32983,ISO 45001:2018,OH250388,2025-12-08,,2025-12-08,2028-12-07,"지역문화관광 진흥사업, 문화관광시설 운영 관리",36,,
61,KAB,회명텍사스 주식회사,인증완료,320-87-71285,,,1,1949-933-2854,lwh415@hoimyung.co.kr,--,이우형 차장,"한창호, 외 2명",,ISO9001:2015/ISO14001:2015/ISO 45001:2018,E250386,2024-12-20,2024-12-20,2025-11-17,2027-12-19,"2차전지 소재(분산제, 절연코팅액)의 생산",12,,
62,KAB,오성이엔지,인증완료,130-34-45166,경기,"경기 부천시 부천로198번길 18, 202동 5층 506호 (춘의동, 춘의테크노파크2차)",1,032-623-8230,ztop3@naver.com,032-623-8232,박홍기 차장,김남성,14557,ISO9001:2015/ISO45001:2018,OH250384,2023-12-18,2023-12-18,2025-11-03,2026-12-17,차상 신호 시스템 장치 부품의 제조,19,,
63,KAB,주식회사 헨텍,인증완료,222-86-00055,경기,경기 김포시 하성면 원통로78번길 110,1,031-980-8031,kukdong_tr@naver.com,--,강일주 대리,이한울,10011,ISO9001:2015/ISO14001:2015/ISO 45001:2018,E250381,2025-11-10,,2025-11-10,2028-11-09,"유입변압기의 설계, 제조 및 부가서비스",19,,
64,KAB,(주)대양포장,인증완료,504-81-23450,대구,대구 북구 검단로31길 33-7 (검단동),1,053-384-0214,daeyang0602@hanmail.net,--,김준영,김준홍,41513,ISO 45001:2018,SKOR/OH&SMS/00020/11831,2025-12-31,,2025-12-31,2028-12-30,포장용 골판지 상자 제조,07,,
65,KAB,울산광역시청,인증완료,610-83-00023,울산,울산 남구 중앙로 201 (신정동),5,052-229-4143,bigksg@korea.kr,--,김상걸 주무관,김두겸,44675,ISO 45001:2018,OH250379,2025-12-01,,2025-12-01,2028-11-30,"공공행정 서비스(환경관리, 건축물 관리, 조경관리, 도로유지 보수 등)의 안전보건경영시스템",36,,
66,KAB,솔벡일렉트릭 주식회사,인증완료,466-86-03647,경기,"경기 안양시 동안구 엘에스로 136, A동 8층 818호(호계동, 금정역2차 SK V1 tower)",1,--,hskwon@solvecelectric.com,--,권혁서 팀장,임철,14118,ISO 9001:2015/ISO 14001:2015,E250378,2025-11-10,,2025-11-10,2028-11-09,"전력설비감시제어시스템, 보호계전기반, 제어반 및 시스템(무효전력보상장치, 직류배전 및 송전장치, 에너지저장장치), 전력설비용 소프트웨어의 개발, 설계 및 제작",19,33,
67,KAB,주식회사 코스랩코리아,인증완료,337-88-03756,인천,"인천 부평구 안남로402번길 70, 2층 202호 (청천동, 엔터그레인)",1,032-715-4277,pissaro_lee@naver.com,--,정재영 과장,문석범,21314,ISO22716:2007,C250374,2025-10-27,,2025-10-27,2028-10-26,색조화장품(립틴트)의 제조,B-07,,
68,KAB,재보테크 주식회사,인증완료,305-86-16513,대전,"대전 대덕구 중리동로 48, 1층(중리동)",1,042-321-3342,jebo3342@naver.com,042-634-3342,정예은 대리,정인도,34390,ISO 45001:2018,OH250373,2025-10-02,,2025-10-02,2028-10-01,전기공사,28,,
69,KAB,현우전기(주),인증완료,124-81-37985,경기,경기 화성시 정남면 서봉로 1054,1,031-354-7790,hw77904@naver.com,--,최선열 부장,백인기,18519,ISO 9001:2015,Q250372,2025-09-29,,2025-11-03,2028-11-29,전기공사,28,,
70,KAB,어프로티움 주식회사(APPROTIUM),인증완료,610-81-02987,울산,"울산 남구 처용로 35 (여천동, 어프로티움)",3,052-270-8500,deokpyo.hong@approtium.com,--,홍덕표 대리,원기돈,44781,ISO 45001:2018,SKOR/OH&SMS/00018/11649,2025-10-16,,2025-10-16,2028-10-15,"수소, 이산화탄소, 증기 생산 / 파이프라인 가스 운송 및 컨테이너 충전 운송",12,31,
71,KAB,주식회사 에이치엠티,인증완료,121-81-28788,경기,경기도 화성시 팔탄면 버들로 1491,1,031-354-5082,hcsong@hmtglobal.co.kr,031-354-5051,송호찬 팀장,김광남,,ISO 9001:2015/ISO 14001:2015,E250371,2013-01-24,2013-01-24,2025-09-15,2028-01-23,"전기, 전자용 TAPE의 생산",14,,
72,KAB,주식회사 에이스테크,인증완료,355-81-02213,전남,전남 나주시 왕곡면 혁신산단3길 57,2,061-820-7662,sherry1269@ac2tech.co.kr,--,이정현 차장,윤가영,58296,ISO 9001:2015,Q260452,2025-10-20,2021-06-08,2026-04-27,2027-06-07,"변압기, 변성기, 개폐기, 차단기, COS류, 피뢰기류, 개폐장치, 항공 장애등, control panel, 보호계전기, 보호배전반, 에폭시 절연물 제품의 설계, 개발 및 제조",19,,
